Source_System,Task_ID,Asset_ID,City,Track_Section,Asset_Type,Asset_Condition,Health_Score,Issue_Type,Severity,Last_Maintenance_Date,Next_Due_Date,Estimated_Duration_Minutes,Maintenance_Status,Asset_Criticality,Safety_Impact,Location_KM,Recent_Fault_Count,Failure_History_Count,Work_Order_ID,Train_ID,Train_Name,Train_Type,Train_Priority,Train_Start_Time,Train_End_Time,Direction
TMS,TMS-0014,TRK-0014,Vadgaon,Pune Jn Yard,Platform Track,Good,80,Corrosion,Medium,2026-08-06,2026-09-23,109,Pending,Critical,Medium,36.5,5,10,TMS-WO-0014,TR-0123,Passenger,Local,High,17:07,18:35,DOWN
TMS,TMS-0015,TRK-0015,Chinchwad,Ghorpuri-Hadapsar,Main Line Track,Critical,25,Ballast Deficiency,Low,2026-07-02,2026-09-02,96,Pending,Critical,Medium,38.1,5,8,TMS-WO-0015,TR-0093,Passenger,Passenger,Critical,05:49,07:44,DOWN
TMS,TMS-0016,TRK-0016,Ghorpuri,Dehu Road-Talegaon,Loop Line Track,Poor,32,Rail Crack,Critical,2026-07-04,2026-07-31,142,Scheduled,Medium,Low,67.4,0,0,TMS-WO-0016,TR-0085,Superfast Express,Superfast,Low,14:35,17:11,DOWN
TMS,TMS-0017,TRK-0017,Dehu Road,Manjari-Loni,Main Line Track,Poor,39,Rail Crack,High,2026-08-11,2026-09-09,134,Pending,Medium,Low,77.7,2,10,TMS-WO-0017,TR-0148,Local,Express,High,11:15,13:39,DOWN
TMS,TMS-0018,TRK-0018,Fursungi,Khadki-Dapodi,Platform Track,Fair,61,Rail Crack,Medium,2026-07-20,2026-08-18,95,In Progress,High,High,31.9,3,2,TMS-WO-0018,TR-0014,Intercity Express,Express,Critical,10:42,12:34,DOWN
TMS,TMS-0019,TRK-0019,Dapodi,Pune Jn-Ghorpuri,Yard Track,Good,84,Rail Crack,Critical,2026-08-12,2026-10-21,88,Pending,High,High,67.2,0,2,TMS-WO-0019,TR-0069,Deccan Express,Passenger,High,15:30,16:45,DOWN
TMS,TMS-0020,TRK-0020,Hadapsar,Kasarwadi-Chinchwad,Main Line Track,Fair,71,Corrosion,Low,2026-07-04,2026-08-19,171,In Progress,High,Medium,25.1,4,5,TMS-WO-0020,TR-0056,Intercity Express,Local,High,18:04,18:54,DOWN
TMS,TMS-0021,TRK-0021,Dapodi,Shivajinagar-Khadki,Platform Track,Fair,58,Gauge Variation,Low,2026-07-19,2026-08-22,110,Pending,High,High,87.9,5,1,TMS-WO-0021,TR-0059,Intercity Express,Passenger,Medium,03:26,06:08,DOWN
TMS,TMS-0022,TRK-0022,Kasarwadi,Loni-Uruli,Platform Track,Critical,26,Corrosion,Low,2026-07-15,2026-08-10,93,Pending,Medium,High,12.7,6,3,TMS-WO-0022,TR-0091,Pune-Mumbai Express,Express,Low,07:27,09:13,UP
TMS,TMS-0023,TRK-0023,Uruli,Fursungi-Manjari,Loop Line Track,Fair,68,Rail Crack,Low,2026-07-17,2026-08-23,106,Pending,Medium,High,59.8,3,7,TMS-WO-0023,TR-0066,Local,Superfast,High,16:21,18:59,DOWN
TMS,TMS-0024,TRK-0024,Pune Jn,Dapodi-Kasarwadi,Yard Track,Poor,35,Alignment Issue,Low,2026-08-05,2026-09-30,79,Pending,High,Medium,23.4,6,6,TMS-WO-0024,TR-0142,Pune-Mumbai Express,Local,High,11:13,12:18,UP
TMS,TMS-0025,TRK-0025,Loni,Pune Jn-Shivajinagar,Main Line Track,Fair,64,Ballast Deficiency,High,2026-07-20,2026-09-10,123,Scheduled,Critical,High,32.0,6,10,TMS-WO-0025,TR-0149,Superfast Express,Express,Medium,15:00,16:04,UP
TMS,TMS-0026,TRK-0026,Loni,Hadapsar-Fursungi,Loop Line Track,Critical,13,Alignment Issue,High,2026-08-11,2026-08-28,113,Scheduled,Low,High,38.1,3,9,TMS-WO-0026,TR-0023,Deccan Express,Local,Medium,12:22,14:33,DOWN
TMS,TMS-0027,TRK-0027,Uruli,Pune Jn-Vadgaon,Yard Track,Poor,35,Rail Crack,Medium,2026-08-08,2026-09-29,84,In Progress,High,High,19.0,1,4,TMS-WO-0027,TR-0057,Passenger,Passenger,Medium,19:03,21:54,UP
TMS,TMS-0028,TRK-0028,Chinchwad,Kasarwadi-Chinchwad,Main Line Track,Critical,19,Gauge Variation,Critical,2026-07-02,2026-07-18,104,Pending,High,Medium,52.4,5,5,TMS-WO-0028,TR-0045,Intercity Express,Superfast,High,10:24,12:45,UP
TMS,TMS-0029,TRK-0029,Loni,Dehu Road-Talegaon,Platform Track,Good,84,Corrosion,High,2026-08-13,2026-09-06,104,Pending,Critical,Medium,89.7,0,2,TMS-WO-0029,TR-0129,Sinhagad Express,Express,High,21:04,23:48,UP
TMS,TMS-0030,TRK-0030,Uruli,Chinchwad-Akurdi,Platform Track,Poor,38,Rail Wear,Critical,2026-07-14,2026-08-15,118,Pending,Low,Medium,97.4,6,5,TMS-WO-0030,TR-0113,Sinhagad Express,Superfast,Medium,03:52,06:03,UP
TMS,TMS-0031,TRK-0031,Ghorpuri,Kasarwadi-Chinchwad,Yard Track,Fair,69,Rail Crack,High,2026-07-08,2026-09-17,95,Pending,High,High,10.5,3,0,TMS-WO-0031,TR-0056,Superfast Express,Passenger,Critical,01:50,02:35,DOWN
TMS,TMS-0032,TRK-0032,Vadgaon,Pune Jn-Shivajinagar,Yard Track,Fair,72,Gauge Variation,High,2026-07-31,2026-08-20,69,In Progress,High,Low,8.1,6,7,TMS-WO-0032,TR-0148,Sinhagad Express,Express,High,16:00,17:30,UP
TMS,TMS-0033,TRK-0033,Uruli,Kasarwadi-Chinchwad,Platform Track,Fair,57,Rail Crack,Low,2026-07-20,2026-08-14,70,In Progress,Medium,Medium,38.6,2,1,TMS-WO-0033,TR-0067,Sinhagad Express,Passenger,High,11:18,12:33,DOWN
TMS,TMS-0034,TRK-0034,Manjari,Pune Jn-Ghorpuri,Loop Line Track,Excellent,95,Corrosion,Low,2026-07-17,2026-09-21,99,Scheduled,High,High,95.0,5,3,TMS-WO-0034,TR-0149,Passenger,Passenger,Medium,04:59,06:15,UP
TMS,TMS-0035,TRK-0035,Chinchwad,Pune Jn-Shivajinagar,Loop Line Track,Poor,30,Sleeper Damage,Medium,2026-07-28,2026-08-22,94,Pending,Medium,Medium,72.7,0,8,TMS-WO-0035,TR-0127,Intercity Express,Passenger,Low,01:24,03:22,UP
TMS,TMS-0036,TRK-0036,Khadki,Pune Jn-Shivajinagar,Loop Line Track,Fair,59,Alignment Issue,Low,2026-08-14,2026-10-14,84,Pending,High,Low,35.1,4,4,TMS-WO-0036,TR-0043,Superfast Express,Express,High,01:46,02:42,UP
TMS,TMS-0037,TRK-0037,Fursungi,Khadki-Dapodi,Loop Line Track,Good,80,Rail Crack,High,2026-07-05,2026-09-08,99,Scheduled,High,Medium,95.5,5,0,TMS-WO-0037,TR-0120,Superfast Express,Superfast,Critical,14:30,17:29,UP
TMS,TMS-0038,TRK-0038,Vadgaon,Pune Jn-Vadgaon,Yard Track,Poor,40,Ballast Deficiency,Low,2026-07-07,2026-08-24,109,Pending,Medium,High,88.7,0,4,TMS-WO-0038,TR-0110,Pune-Mumbai Express,Local,High,05:42,07:12,DOWN
TMS,TMS-0039,TRK-0039,Vadgaon,Hadapsar-Fursungi,Loop Line Track,Good,79,Rail Wear,High,2026-07-23,2026-08-17,136,In Progress,High,High,40.2,6,1,TMS-WO-0039,TR-0008,Intercity Express,Superfast,Critical,21:12,23:20,UP
TMS,TMS-0040,TRK-0040,Vadgaon,Pune Jn Yard,Loop Line Track,Fair,59,Rail Crack,Medium,2026-07-07,2026-09-04,130,Pending,High,Low,95.0,3,3,TMS-WO-0040,TR-0025,Pune-Mumbai Express,Express,Medium,08:31,10:29,DOWN
TMS,TMS-0041,TRK-0041,Uruli,Pune Jn-Ghorpuri,Yard Track,Poor,32,Alignment Issue,Medium,2026-08-05,2026-09-25,75,Pending,Medium,Medium,81.4,0,11,TMS-WO-0041,TR-0081,Intercity Express,Superfast,Medium,03:03,04:16,DOWN
TMS,TMS-0042,TRK-0042,Fursungi,Chinchwad-Akurdi,Yard Track,Fair,69,Ballast Deficiency,Low,2026-08-02,2026-08-17,110,Pending,Low,High,70.1,0,6,TMS-WO-0042,TR-0010,Deccan Express,Local,High,15:32,16:26,UP
TMS,TMS-0043,TRK-0043,Vadgaon,Pune Jn-Vadgaon,Main Line Track,Excellent,97,Ballast Deficiency,High,2026-07-28,2026-09-07,103,Scheduled,High,High,76.6,3,8,TMS-WO-0043,TR-0070,Intercity Express,Local,Medium,17:33,20:19,UP
TMS,TMS-0044,TRK-0044,Akurdi,Dapodi-Kasarwadi,Loop Line Track,Fair,74,Sleeper Damage,High,2026-08-01,2026-08-30,144,In Progress,High,High,93.6,5,11,TMS-WO-0044,TR-0092,Local,Express,High,12:08,14:43,DOWN
TMS,TMS-0045,TRK-0045,Chinchwad,Pune Jn-Ghorpuri,Loop Line Track,Fair,60,Alignment Issue,Medium,2026-08-09,2026-10-03,138,Scheduled,High,Medium,72.1,2,3,TMS-WO-0045,TR-0052,Intercity Express,Superfast,Medium,12:40,14:41,DOWN
TMS,TMS-0046,TRK-0046,Akurdi,Pune Jn-Ghorpuri,Main Line Track,Fair,67,Corrosion,Medium,2026-08-12,2026-09-27,160,Pending,Medium,High,66.8,1,7,TMS-WO-0046,TR-0061,Sinhagad Express,Superfast,High,20:22,22:00,DOWN
TMS,TMS-0047,TRK-0047,Talegaon,Pune Jn-Vadgaon,Main Line Track,Good,76,Rail Crack,High,2026-07-15,2026-08-07,99,Scheduled,Medium,High,46.3,3,4,TMS-WO-0047,TR-0078,Intercity Express,Superfast,High,10:16,11:38,UP
TMS,TMS-0048,TRK-0048,Akurdi,Pune Jn-Shivajinagar,Loop Line Track,Good,78,Gauge Variation,Low,2026-07-04,2026-09-05,120,In Progress,High,High,95.9,3,1,TMS-WO-0048,TR-0089,Local,Express,Medium,11:47,12:42,DOWN
TMS,TMS-0049,TRK-0049,Loni,Hadapsar-Fursungi,Main Line Track,Critical,18,Corrosion,High,2026-07-02,2026-08-17,120,Pending,High,High,27.4,2,8,TMS-WO-0049,TR-0006,Pune-Mumbai Express,Superfast,Low,08:00,09:37,DOWN
TMS,TMS-0050,TRK-0050,Pune Jn,Pune Jn-Vadgaon,Platform Track,Fair,71,Alignment Issue,Medium,2026-07-01,2026-08-20,101,Pending,Medium,High,87.4,0,3,TMS-WO-0050,TR-0053,Intercity Express,Superfast,Medium,06:42,08:05,DOWN
TMS,TMS-0051,TRK-0051,Akurdi,Chinchwad-Akurdi,Platform Track,Fair,74,Ballast Deficiency,High,2026-07-31,2026-10-01,77,Pending,High,Medium,23.8,6,1,TMS-WO-0051,TR-0143,Superfast Express,Local,Medium,19:22,20:20,DOWN
TMS,TMS-0052,TRK-0052,Akurdi,Pune Jn-Vadgaon,Platform Track,Poor,39,Rail Crack,High,2026-07-06,2026-08-09,110,Scheduled,Medium,Medium,23.0,5,5,TMS-WO-0052,TR-0002,Deccan Express,Express,Medium,19:35,20:43,DOWN
TMS,TMS-0053,TRK-0053,Talegaon,Pune Jn Yard,Loop Line Track,Fair,72,Alignment Issue,Medium,2026-07-14,2026-09-23,97,Pending,High,High,22.6,3,6,TMS-WO-0053,TR-0043,Superfast Express,Express,Medium,05:55,08:36,UP
TMS,TMS-0054,TRK-0054,Loni,Shivajinagar-Khadki,Yard Track,Good,76,Ballast Deficiency,Medium,2026-08-11,2026-09-10,69,Pending,Medium,High,89.7,3,1,TMS-WO-0054,TR-0031,Passenger,Local,Medium,00:39,02:00,UP
TMS,TMS-0055,TRK-0055,Pune Jn,Kasarwadi-Chinchwad,Yard Track,Fair,60,Ballast Deficiency,Medium,2026-08-04,2026-09-29,103,In Progress,Low,Medium,73.3,5,11,TMS-WO-0055,TR-0148,Passenger,Express,Medium,04:56,07:26,UP
TMS,TMS-0056,TRK-0056,Ghorpuri,Dehu Road-Talegaon,Loop Line Track,Fair,58,Rail Wear,Medium,2026-07-20,2026-09-24,92,Pending,Low,Medium,25.6,2,7,TMS-WO-0056,TR-0005,Deccan Express,Local,Medium,04:16,05:48,DOWN
TMS,TMS-0057,TRK-0057,Fursungi,Loni-Uruli,Loop Line Track,Fair,66,Corrosion,High,2026-07-30,2026-09-17,103,Pending,Critical,Medium,16.1,6,2,TMS-WO-0057,TR-0041,Superfast Express,Local,Low,11:35,13:48,UP
TMS,TMS-0058,TRK-0058,Dehu Road,Pune Jn-Vadgaon,Platform Track,Excellent,94,Ballast Deficiency,High,2026-07-20,2026-09-06,94,Scheduled,High,High,70.2,0,8,TMS-WO-0058,TR-0122,Local,Local,Medium,16:56,18:14,DOWN
TMS,TMS-0059,TRK-0059,Chinchwad,Manjari-Loni,Loop Line Track,Fair,59,Gauge Variation,Medium,2026-08-03,2026-10-06,101,Pending,Medium,Medium,14.2,0,5,TMS-WO-0059,TR-0005,Intercity Express,Local,High,13:41,16:34,DOWN
TMS,TMS-0060,TRK-0060,Talegaon,Dehu Road-Talegaon,Platform Track,Excellent,99,Ballast Deficiency,Medium,2026-07-13,2026-09-17,88,Scheduled,High,Medium,91.8,4,7,TMS-WO-0060,TR-013,Deccan Express,Superfast,High,06:51,07:44,DOWN
TMS,TMS-0061,TRK-0061,Ghorpuri,Ghorpuri-Hadapsar,Loop Line Track,Critical,27,Rail Crack,Medium,2026-07-31,2026-09-05,125,Pending,Critical,Medium,12.4,3,4,TMS-WO-0061,TR-0101,Superfast Express,Superfast,Medium,10:45,12:05,UP
TMS,TMS-0062,TRK-0062,Ghorpuri,Kasarwadi-Chinchwad,Main Line Track,Fair,59,Rail Crack,High,2026-07-09,2026-07-30,174,Pending,Medium,High,66.9,0,6,TMS-WO-0062,TR-0024,Deccan Express,Passenger,Medium,20:54,23:33,UP
TMS,TMS-0063,TRK-0063,Fursungi,Dapodi-Kasarwadi,Platform Track,Poor,36,Rail Crack,High,2026-07-14,2026-08-23,82,Pending,High,High,21.4,2,2,TMS-WO-0063,TR-0097,Sinhagad Express,Local,High,04:58,07:40,DOWN
TMS,TMS-0064,TRK-0064,Dapodi,Shivajinagar-Khadki,Yard Track,Fair,70,Gauge Variation,Low,2026-07-06,2026-09-07,79,In Progress,Critical,Low,64.4,2,3,TMS-WO-0064,TR-0010,Local,Passenger,Medium,01:49,04:07,UP
TMS,TMS-0065,TRK-0065,Vadgaon,Loni-Uruli,Yard Track,Fair,67,Rail Wear,Low,2026-07-18,2026-09-06,83,Pending,Critical,Medium,91.7,4,4,TMS-WO-0065,TR-0029,Local,Passenger,Medium,21:27,23:59,UP
TMS,TMS-0066,TRK-0066,Ghorpuri,Akurdi-Dehu Road,Platform Track,Good,76,Gauge Variation,Medium,2026-08-03,2026-08-22,64,Pending,Critical,Medium,83.6,5,4,TMS-WO-0066,TR-0123,Local,Local,High,01:54,03:59,UP
TMS,TMS-0067,TRK-0067,Dehu Road,Kasarwadi-Chinchwad,Main Line Track,Excellent,95,Ballast Deficiency,High,2026-08-02,2026-10-15,157,Pending,High,Medium,61.5,5,1,TMS-WO-0067,TR-0051,Sinhagad Express,Express,High,04:37,06:55,DOWN
TMS,TMS-0068,TRK-0068,Khadki,Khadki-Dapodi,Platform Track,Poor,50,Corrosion,Medium,2026-07-02,2026-08-07,77,Pending,Medium,High,49.5,3,3,TMS-WO-0068,TR-0091,Passenger,Passenger,Medium,06:51,09:15,UP
TMS,TMS-0069,TRK-0069,Loni,Dapodi-Kasarwadi,Main Line Track,Excellent,100,Ballast Deficiency,High,2026-08-02,2026-10-03,152,Pending,Low,High,42.8,1,7,TMS-WO-0069,TR-0104,Deccan Express,Express,Medium,16:03,18:10,DOWN
TMS,TMS-0070,TRK-0070,Loni,Dapodi-Kasarwadi,Loop Line Track,Good,85,Rail Crack,High,2026-08-03,2026-09-11,88,Scheduled,High,Medium,70.4,2,5,TMS-WO-0070,TR-0029,Intercity Express,Local,High,15:26,17:34,DOWN
TMS,TMS-0071,TRK-0071,Loni,Hadapsar-Fursungi,Platform Track,Critical,13,Alignment Issue,Low,2026-08-07,2026-09-02,62,Pending,Medium,Medium,76.3,1,2,TMS-WO-0071,TR-0145,Pune-Mumbai Express,Superfast,Critical,07:10,08:26,UP
TMS,TMS-0072,TRK-0072,Loni,Fursungi-Manjari,Loop Line Track,Fair,56,Corrosion,Medium,2026-07-23,2026-08-10,106,In Progress,High,High,65.3,5,10,TMS-WO-0072,TR-0031,Passenger,Superfast,High,18:46,20:44,DOWN
TMS,TMS-0073,TRK-0073,Fursungi,Dapodi-Kasarwadi,Main Line Track,Fair,72,Ballast Deficiency,Medium,2026-07-01,2026-08-29,149,In Progress,Critical,High,47.7,6,2,TMS-WO-0073,TR-0015,Superfast Express,Local,High,16:22,18:41,UP
TMS,TMS-0074,TRK-0074,Pune Jn,Chinchwad-Akurdi,Yard Track,Poor,31,Rail Wear,Medium,2026-07-09,2026-09-17,66,Pending,High,High,74.0,1,4,TMS-WO-0074,TR-0030,Deccan Express,Passenger,Low,05:42,06:56,DOWN
TMS,TMS-0075,TRK-0075,Ghorpuri,Shivajinagar-Khadki,Platform Track,Good,78,Rail Wear,Critical,2026-08-12,2026-09-19,63,Pending,High,High,34.7,5,0,TMS-WO-0075,TR-0127,Sinhagad Express,Passenger,Critical,07:57,09:33,UP
TMS,TMS-0076,TRK-0076,Khadki,Ghorpuri-Hadapsar,Platform Track,Fair,60,Rail Wear,Medium,2026-07-11,2026-08-19,97,Pending,High,Low,25.9,6,8,TMS-WO-0076,TR-0024,Pune-Mumbai Express,Passenger,High,07:54,09:55,UP
TMS,TMS-0077,TRK-0077,Hadapsar,Dapodi-Kasarwadi,Main Line Track,Good,82,Corrosion,Critical,2026-07-01,2026-08-28,153,Scheduled,Medium,High,4.9,6,10,TMS-WO-0077,TR-0058,Passenger,Local,High,04:39,06:55,DOWN
TMS,TMS-0078,TRK-0078,Loni,Ghorpuri-Hadapsar,Yard Track,Poor,34,Ballast Deficiency,Medium,2026-07-02,2026-07-20,83,Pending,Medium,High,19.7,2,5,TMS-WO-0078,TR-0065,Sinhagad Express,Superfast,Critical,16:23,18:15,UP
TMS,TMS-0079,TRK-0079,Talegaon,Hadapsar-Fursungi,Platform Track,Excellent,99,Ballast Deficiency,Medium,2026-08-02,2026-09-03,99,Scheduled,Medium,Medium,97.1,1,9,TMS-WO-0079,TR-0113,Deccan Express,Express,High,12:58,15:18,UP
TMS,TMS-0080,TRK-0080,Dapodi,Khadki-Dapodi,Loop Line Track,Fair,67,Rail Wear,High,2026-08-07,2026-10-02,92,Scheduled,High,Low,63.3,1,5,TMS-WO-0080,TR-0139,Passenger,Express,Critical,13:37,16:09,UP
TMS,TMS-0081,TRK-0081,Ghorpuri,Pune Jn Yard,Main Line Track,Critical,16,Rail Wear,Medium,2026-07-16,2026-08-11,146,Pending,Critical,Low,37.5,4,3,TMS-WO-0081,TR-0068,Passenger,Express,Low,05:38,07:13,UP
TMS,TMS-0082,TRK-0082,Uruli,Shivajinagar-Khadki,Loop Line Track,Fair,64,Alignment Issue,Low,2026-07-27,2026-08-31,141,Pending,High,High,95.5,6,11,TMS-WO-0082,TR-0143,Deccan Express,Express,High,12:14,14:49,DOWN
TMS,TMS-0083,TRK-0083,Akurdi,Pune Jn-Vadgaon,Main Line Track,Fair,58,Rail Crack,High,2026-08-10,2026-10-08,175,Scheduled,High,Medium,6.8,4,8,TMS-WO-0083,TR-0093,Intercity Express,Superfast,Medium,17:59,20:33,UP
TMS,TMS-0084,TRK-0084,Khadki,Manjari-Loni,Main Line Track,Good,83,Alignment Issue,Low,2026-08-03,2026-09-22,178,Pending,Low,High,32.2,0,3,TMS-WO-0084,TR-0146,Local,Local,Low,14:42,16:58,UP
TMS,TMS-0085,TRK-0085,Hadapsar,Kasarwadi-Chinchwad,Loop Line Track,Excellent,99,Rail Wear,Critical,2026-08-04,2026-08-19,96,Pending,Medium,High,41.9,3,4,TMS-WO-0085,TR-0026,Sinhagad Express,Local,Medium,21:31,23:04,DOWN
TMS,TMS-0086,TRK-0086,Dapodi,Kasarwadi-Chinchwad,Loop Line Track,Critical,15,Corrosion,Medium,2026-07-25,2026-09-17,126,Pending,High,Medium,24.5,6,10,TMS-WO-0086,TR-0016,Superfast Express,Local,High,12:08,13:58,UP
TMS,TMS-0087,TRK-0087,Shivajinagar,Loni-Uruli,Yard Track,Critical,20,Sleeper Damage,Critical,2026-07-30,2026-08-30,70,In Progress,High,Medium,81.4,1,10,TMS-WO-0087,TR-0076,Pune-Mumbai Express,Superfast,High,03:34,05:14,DOWN
TMS,TMS-0088,TRK-0088,Manjari,Loni-Uruli,Main Line Track,Critical,29,Sleeper Damage,High,2026-07-03,2026-09-14,99,Pending,Critical,Low,26.5,3,1,TMS-WO-0088,TR-0116,Sinhagad Express,Express,Medium,02:09,03:05,DOWN
TMS,TMS-0089,TRK-0089,Kasarwadi,Pune Jn-Ghorpuri,Loop Line Track,Fair,64,Ballast Deficiency,High,2026-07-05,2026-08-20,105,Scheduled,High,Medium,48.7,4,7,TMS-WO-0089,TR-0068,Sinhagad Express,Express,High,15:16,17:24,UP
TMS,TMS-0090,TRK-0090,Akurdi,Pune Jn-Shivajinagar,Main Line Track,Fair,57,Corrosion,High,2026-08-01,2026-09-19,137,Pending,Critical,High,97.0,5,8,TMS-WO-0090,TR-0053,Sinhagad Express,Passenger,Low,02:39,05:24,DOWN
TMS,TMS-0091,TRK-0091,Pune Jn,Pune Jn-Ghorpuri,Loop Line Track,Good,80,Ballast Deficiency,Medium,2026-07-16,2026-09-22,85,Scheduled,High,High,49.1,6,6,TMS-WO-0091,TR-0133,Sinhagad Express,Passenger,Critical,11:09,12:27,UP
TMS,TMS-0092,TRK-0092,Vadgaon,Pune Jn-Shivajinagar,Main Line Track,Poor,46,Sleeper Damage,Critical,2026-08-10,2026-10-02,152,Pending,Medium,Medium,23.7,2,4,TMS-WO-0092,TR-0081,Pune-Mumbai Express,Passenger,Critical,09:35,11:28,DOWN
TMS,TMS-0093,TRK-0093,Manjari,Pune Jn Yard,Loop Line Track,Fair,55,Rail Crack,High,2026-08-08,2026-09-30,147,Scheduled,Low,Low,59.6,1,9,TMS-WO-0093,TR-0083,Superfast Express,Express,High,19:06,19:51,UP
TMS,TMS-0094,TRK-0094,Uruli,Pune Jn Yard,Main Line Track,Good,82,Gauge Variation,Medium,2026-07-12,2026-09-22,132,Scheduled,Medium,High,85.8,1,10,TMS-WO-0094,TR-0046,Local,Express,Medium,00:27,03:22,UP
TMS,TMS-0095,TRK-0095,Dehu Road,Shivajinagar-Khadki,Main Line Track,Good,81,Gauge Variation,Critical,2026-07-15,2026-08-08,154,In Progress,High,High,35.6,2,9,TMS-WO-0095,TR-0001,Deccan Express,Superfast,High,18:22,20:41,UP
TMS,TMS-0096,TRK-0096,Vadgaon,Fursungi-Manjari,Yard Track,Fair,74,Corrosion,High,2026-07-18,2026-08-21,70,Scheduled,High,Medium,7.6,3,1,TMS-WO-0096,TR-0104,Sinhagad Express,Local,Critical,07:42,08:38,UP
TMS,TMS-0097,TRK-0097,Kasarwadi,Pune Jn-Vadgaon,Main Line Track,Poor,49,Sleeper Damage,Medium,2026-07-02,2026-08-04,158,In Progress,Critical,High,42.1,0,7,TMS-WO-0097,TR-0066,Sinhagad Express,Passenger,High,15:56,18:19,UP
TMS,TMS-0098,TRK-0098,Dapodi,Khadki-Dapodi,Main Line Track,Poor,53,Rail Wear,Medium,2026-08-14,2026-09-17,121,Pending,High,Low,80.4,1,9,TMS-WO-0098,TR-0050,Superfast Express,Express,High,10:27,11:19,DOWN
